2022-11-02 01:54:01.796064 :  peak value:  2.9103  dif:  1.7366
2022-11-02 01:55:13.728414 :  peak value:  1.9945999999999997  dif:  0.8201999999999998
2022-11-02 01:56:31.261006 :  peak value:  11.9874  dif:  10.8721
2022-11-02 01:57:56.234596 :  peak value:  2.8171  dif:  1.6572
2022-11-02 01:58:22.759035 :  peak value:  125.7815  dif:  124.6009
2022-11-02 01:59:54.754000 :  peak value:  2.1513999999999998  dif:  0.7363999999999999
2022-11-02 02:02:15.216963 :  peak value:  3.0133  dif:  1.8446000000000002
2022-11-02 02:03:21.127862 :  peak value:  1.8653  dif:  0.6865999999999999
2022-11-02 02:04:24.118084 :  peak value:  11.5175  dif:  10.3958
2022-11-02 02:04:25.038101 :  peak value:  15.859799999999998  dif:  6.181199999999999
2022-11-02 02:07:27.167879 :  peak value:  42.831399999999995  dif:  41.7204
2022-11-02 02:07:41.130068 :  peak value:  7.423399999999999  dif:  5.036399999999999
2022-11-02 02:07:42.590175 :  peak value:  12.1486  dif:  6.3548
2022-11-02 02:07:48.111139 :  peak value:  9.7358  dif:  5.611199999999999
2022-11-02 02:08:01.133467 :  peak value:  4.0147  dif:  1.7195000000000005
2022-11-02 02:08:11.639392 :  peak value:  3.4282  dif:  1.3992999999999998
2022-11-02 02:08:12.554786 :  peak value:  4.1053  dif:  0.8548
2022-11-02 02:09:18.105645 :  peak value:  3.9877000000000002  dif:  2.5968
2022-11-02 02:10:28.137058 :  peak value:  4.8305  dif:  3.5636
2022-11-02 02:10:59.642370 :  peak value:  2.1656999999999997  dif:  0.8512999999999997
2022-11-02 02:13:06.122670 :  peak value:  2.2172  dif:  1.0542
2022-11-02 02:13:13.124379 :  peak value:  10.536900000000001  dif:  9.191300000000002
2022-11-02 02:14:18.614644 :  peak value:  5.2970999999999995  dif:  4.093399999999999
2022-11-02 02:14:37.598044 :  peak value:  2.8545  dif:  1.4802999999999997
2022-11-02 02:14:39.098014 :  peak value:  7.9696  dif:  5.5206
2022-11-02 02:14:46.079608 :  peak value:  4.5273  dif:  2.1882000000000006
2022-11-02 02:15:29.086235 :  peak value:  2.1145  dif:  0.7639
2022-11-02 02:17:08.622485 :  peak value:  3.2382  dif:  2.064
2022-11-02 02:19:39.067675 :  peak value:  1.934  dif:  0.8271
2022-11-02 02:21:40.146888 :  peak value:  7.1365  dif:  6.054399999999999
2022-11-02 02:22:39.656755 :  peak value:  3.9370000000000003  dif:  2.8036000000000003
2022-11-02 02:23:51.688495 :  peak value:  2.4049  dif:  1.2808000000000002
2022-11-02 02:24:16.132640 :  peak value:  1.7499  dif:  0.5775999999999999
2022-11-02 02:24:26.174019 :  peak value:  1.9234999999999998  dif:  0.6858999999999997
2022-11-02 02:24:43.676665 :  peak value:  87.00989999999999  dif:  85.84289999999999
2022-11-02 02:24:54.618535 :  peak value:  4.3942  dif:  0.7769999999999992
2022-11-02 02:25:26.223819 :  peak value:  3.8475  dif:  2.2282
2022-11-02 02:26:41.215810 :  peak value:  2.53  dif:  1.2234999999999998
2022-11-02 02:27:36.684861 :  peak value:  4.3683  dif:  3.151
2022-11-02 02:28:30.154005 :  peak value:  2.1712  dif:  0.9521999999999999
2022-11-02 02:29:10.140196 :  peak value:  131.8047  dif:  130.636
2022-11-02 02:29:12.340496 :  peak value:  52.711  dif:  0.1262000000000043
2022-11-02 02:32:15.690422 :  peak value:  3.4646000000000003  dif:  2.2211000000000003
2022-11-02 02:34:46.135231 :  peak value:  3.0002  dif:  1.8473000000000002
2022-11-02 02:34:56.177013 :  peak value:  2.9621  dif:  1.5896000000000001
2022-11-02 02:37:17.199725 :  peak value:  14.8227  dif:  13.7265
2022-11-02 02:38:35.673499 :  peak value:  3.807  dif:  2.644
2022-11-02 02:39:02.657069 :  peak value:  2.8343  dif:  1.6181999999999999
2022-11-02 02:39:52.185165 :  peak value:  6.6058  dif:  5.4459
2022-11-02 02:41:51.169884 :  peak value:  9.6776  dif:  8.5406
2022-11-02 02:42:38.192112 :  peak value:  29.022399999999998  dif:  27.838699999999996
2022-11-02 02:43:14.718057 :  peak value:  3.1237  dif:  1.6642
2022-11-02 02:44:08.216816 :  peak value:  3.5237999999999996  dif:  2.2647999999999993
2022-11-02 02:44:41.672152 :  peak value:  3.7285999999999997  dif:  2.4623999999999997
2022-11-02 02:45:30.680196 :  peak value:  1.9001000000000001  dif:  0.6656000000000002
2022-11-02 02:46:57.634524 :  peak value:  2.7201  dif:  1.5772
2022-11-02 02:48:02.704398 :  peak value:  2.0577  dif:  0.9229
2022-11-02 02:48:42.191448 :  peak value:  1.9432999999999998  dif:  0.8108999999999997
2022-11-02 02:48:59.714384 :  peak value:  31.6789  dif:  30.5217
2022-11-02 02:49:47.721739 :  peak value:  2.4616  dif:  1.0623999999999998
2022-11-02 02:52:31.169008 :  peak value:  7.3287  dif:  6.2141
2022-11-02 02:53:31.158934 :  peak value:  1.6174  dif:  0.4594999999999998
2022-11-02 02:55:03.624596 :  peak value:  26.2963  dif:  25.2125
2022-11-02 02:55:24.618386 :  peak value:  10.991  dif:  9.442
2022-11-02 02:56:34.053942 :  peak value:  2.7816  dif:  1.5247000000000002
2022-11-02 02:57:27.016273 :  peak value:  1.9061000000000001  dif:  0.6931
2022-11-02 03:00:40.851035 :  peak value:  6.401999999999999  dif:  5.304399999999999
2022-11-02 03:00:41.130790 :  peak value:  6.8023  dif:  0.4211000000000009
2022-11-02 03:01:22.316776 :  peak value:  4.3914  dif:  3.2172
2022-11-02 03:05:23.575860 :  peak value:  1.8939000000000001  dif:  0.8325000000000002
2022-11-02 03:05:45.048531 :  peak value:  1.7690000000000001  dif:  0.6614
2022-11-02 03:13:19.335652 :  peak value:  2.609  dif:  1.5893000000000002
2022-11-02 03:23:33.508789 :  peak value:  2.2535  dif:  1.2674999999999996
2022-11-02 03:24:02.979717 :  peak value:  3.3609  dif:  2.3338
2022-11-02 03:24:45.424410 :  peak value:  2.3588999999999998  dif:  1.3067999999999997
2022-11-02 03:26:10.936405 :  peak value:  3.4303  dif:  2.4213999999999998
2022-11-02 03:26:58.399837 :  peak value:  15.4919  dif:  14.4637
2022-11-02 03:26:58.463481 :  peak value:  15.538599999999999  dif:  0.04879999999999818
2022-11-02 03:28:48.862114 :  peak value:  5.6362000000000005  dif:  4.564800000000001
2022-11-02 03:29:02.357993 :  peak value:  2.357  dif:  1.0374000000000003
2022-11-02 03:32:36.746803 :  peak value:  4.2531  dif:  3.2481999999999998
2022-11-02 03:33:14.193335 :  peak value:  1.8994  dif:  0.8223
2022-11-02 03:34:29.687912 :  peak value:  2.0004999999999997  dif:  0.9750999999999999
2022-11-02 03:36:30.589432 :  peak value:  5.2633  dif:  4.2634
2022-11-02 03:37:07.534222 :  peak value:  2.7306  dif:  1.6488999999999998
2022-11-02 03:37:20.529839 :  peak value:  21.519399999999997  dif:  20.348799999999997
2022-11-02 03:38:13.971540 :  peak value:  3.2131  dif:  1.9784
2022-11-02 03:38:44.960906 :  peak value:  3.2295999999999996  dif:  2.0193999999999996
2022-11-02 03:38:59.396507 :  peak value:  2.0742  dif:  0.7638999999999998
2022-11-02 03:39:10.932786 :  peak value:  15.995000000000001  dif:  14.7064
2022-11-02 03:46:52.676684 :  peak value:  1.8961  dif:  0.8769
2022-11-02 03:47:01.214138 :  peak value:  1.7715999999999998  dif:  0.6102999999999998
2022-11-02 03:49:58.574299 :  peak value:  1.8880000000000001  dif:  0.8955000000000002
2022-11-02 03:54:57.394072 :  peak value:  3.3977  dif:  2.4101999999999997
2022-11-02 03:59:32.281382 :  peak value:  2.1083  dif:  1.1261
2022-11-02 04:00:54.406119 :  peak value:  15.8338  dif:  14.868500000000001
2022-11-02 04:01:34.720048 :  peak value:  2.1319  dif:  0.9510999999999998
2022-11-02 04:03:23.184130 :  peak value:  100.72989999999999  dif:  99.7057
2022-11-02 04:05:31.180318 :  peak value:  2.4094  dif:  1.2360000000000002
2022-11-02 04:06:30.660662 :  peak value:  2.1932  dif:  1.0679
2022-11-02 04:06:35.160526 :  peak value:  67.77929999999999  dif:  66.32189999999999
2022-11-02 04:06:37.738199 :  peak value:  38.5756  dif:  4.9946000000000055
2022-11-02 04:06:38.318609 :  peak value:  34.172999999999995  dif:  0.08989999999999299
2022-11-02 04:08:56.051366 :  peak value:  3.7958  dif:  2.5818
2022-11-02 04:09:06.527846 :  peak value:  3.3791  dif:  1.9136000000000002
2022-11-02 04:09:33.558605 :  peak value:  87.98599999999999  dif:  86.71239999999999
2022-11-02 04:13:44.414283 :  peak value:  40.5967  dif:  39.4719
2022-11-02 04:13:47.156317 :  peak value:  15.6536  dif:  0.6483000000000025
2022-11-02 04:14:08.386293 :  peak value:  2.9757  dif:  1.1146999999999996
2022-11-02 04:14:15.823593 :  peak value:  2.5705999999999998  dif:  0.6818999999999997
2022-11-02 04:14:59.324316 :  peak value:  2.2768  dif:  0.8697000000000001
2022-11-02 04:18:15.757200 :  peak value:  1.9283000000000001  dif:  0.7978000000000001
2022-11-02 04:20:10.775352 :  peak value:  85.2174  dif:  84.14999999999999
